date,open,high,low,close,volume,ticker,sector,returns,volatility_5d,volatility_10d,volatility_20d,volatility_50d,volatility_ratio,volatility_term_structure,ma_10,ma_50,ma_200,ma10_distance,ma50_distance,price_to_ma200,ma_cross,bb_width,bb_position,atr_ratio,rsi,momentum_1m,momentum_3m,momentum_6m,volume_10d_avg,volume_50d_avg,volume_ratio,market_breadth_proxy,high_low_ratio,forward_volatility,regime,regime_label
2015-10-16,18.646325311410898,18.646325311410898,18.522017017945007,18.633007049560547,14972600,XLK,Technology,0.0019099652846399362,0.09712436249022517,0.10772406603164301,0.16471518760559792,0.25805956520932766,0.4174387643576069,0.5896503164163859,18.374175453186034,17.98802318572998,18.416083040237428,1.4086705388982907,3.5856294889715166,1.011779052518886,1,0.09779946295294607,0.8657699142270235,0.013632184551450146,90.9330036924212,3.407503850367566,-3.459495986464456,0.4004688134628953,20871360.0,25193160.0,0.8284534373615696,5.0,1.006711379940179,0.17888669122075157,1,High
2015-10-19,18.593044808080325,18.70403480529785,18.539768390043385,18.70403480529785,14184200,XLK,Technology,0.0038119319951086528,0.09692447874429273,0.06749604546550911,0.16237719769685782,0.2581873190658566,0.2614227751762382,0.5969094190505809,18.430114364624025,17.989790534973146,18.419181842803955,1.4862655502540323,3.9702756345949406,1.015465017117749,1,0.10380503030940554,0.8620469211067718,0.012834435103658523,95.45419039720265,5.167201709563396,-2.443610088449677,0.8309921471252313,20576000.0,25160344.0,0.8177948600384796,10.0,1.008860219383468,0.18621942034890415,1,High
2015-10-20,18.628572269470634,18.708485252470073,18.579736369462758,18.655210494995117,11857800,XLK,Technology,-0.002610362459810278,0.09841892528939022,0.07292515859386624,0.14763287326754332,0.2558141331476936,0.28507087429670314,0.666646412219001,18.47895050048828,17.984747581481933,18.42341682434082,0.9538420187995986,3.7279528693720936,1.0125814702486704,1,0.10612479786709951,0.8017872702531068,0.011950076354016941,90.90940792795708,3.855667138691077,-1.1024064564768565,-0.44754670206326175,19790200.0,25174620.0,0.7861171290768242,15.0,1.006929532284372,0.1857387832115177,1,High
2015-10-21,18.69516525571074,18.74400115119743,18.490943959651723,18.513141632080078,18834400,XLK,Technology,-0.007615505756590313,0.12125624072112186,0.08802020532879201,0.15218684599255713,0.25415204369505956,0.34632892991567565,0.7967590098230436,18.505145263671874,17.9825203704834,18.428015022277833,0.04321159490653552,2.9507613541628066,1.0046194128721588,1,0.1061356702829525,0.7061870294735355,0.011904751082071846,82.24872829328189,4.8265799503418805,-1.6481917494960974,-1.5984968205247974,18629860.0,24457528.0,0.7617229345500494,20.0,1.0136854663611492,0.18883511909875278,1,High
2015-10-22,18.64632388068514,18.970414544906344,18.64632388068514,18.930458068847656,28472000,XLK,Technology,0.02254163259057229,0.182045805535048,0.13795976653930314,0.16793282064144005,0.25897378888840816,0.5327171028831417,1.0840394679235523,18.564635848999025,17.986959953308105,18.43395489692688,1.9705326989667613,5.245456252689471,1.026934164410023,1,0.11069644588611764,0.8739684194382082,0.011424515652475974,84.04268811736947,6.920730843517897,1.11486002562049,-0.24353614074318353,18402100.0,24625540.0,0.7472770140269005,25.0,1.0173809414818173,0.17355620893402313,1,High
2015-10-23,19.401053566750825,19.53424123646666,19.33889943378831,19.458768844604492,33383400,XLK,Technology,0.0279079763329253,0.24828422955999696,0.18572584802186884,0.187691716257352,0.26611760847712546,0.6979089023259173,1.3228299815830125,18.668966674804686,18.003026542663573,18.44058636665344,4.230561785006073,8.086097626369106,1.055214213784018,1,0.12341632488764806,1.028544395911371,0.011880282443923116,85.57706309363611,9.90467206939789,4.877600467703558,2.2559660929527103,19465140.0,25027452.0,0.777751566559792,30.0,1.0101009782561388,0.14501887392497445,1,High
2015-10-26,19.44100651189532,19.44100651189532,19.312257720633625,19.383291244506836,16576200,XLK,Technology,-0.0038788476650507553,0.2635652950273542,0.19076967282514182,0.16061774249446598,0.2661765459180116,0.7167035403784344,1.640947574869789,18.7635290145874,18.015727310180665,18.447125253677367,3.303015277337276,7.590944904862998,1.050748611393683,1,0.12299220737338513,0.9471564686756078,0.01199200494234873,82.00923087424289,9.670924429202588,3.533616244049509,1.5306993075181907,19854020.0,25120856.0,0.7903401062447872,35.0,1.0066666877132724,0.14598522634775943,1,High
2015-10-27,19.33890687156354,19.39218162122481,19.250114493078925,19.27231216430664,15358000,XLK,Technology,-0.0057255023824525075,0.2717231458112844,0.19533503867222637,0.16182752895290806,0.26633577123575036,0.7334164606049977,1.6790909900771953,18.85098991394043,18.02408706665039,18.45416090965271,2.2350139291870232,6.92531662236483,1.0443342430284102,1,0.11400050495791131,0.8777047658175787,0.011501611153380657,76.49809045066948,11.593853163721523,2.264853148597079,1.440309469864598,19599460.0,25204348.0,0.7776221785225311,40.0,1.0073800666586665,0.1442125436613924,1,High
2015-10-28,19.361100185128066,19.560882568359375,19.30338489806716,19.560882568359375,29559200,XLK,Technology,0.014973315168025358,0.24281572522793154,0.1976325170123113,0.15701681174953297,0.2679365389404053,0.7376094271945078,1.5464313822347993,18.970859336853028,18.04016273498535,18.462705154418945,3.1101555339676175,8.429634786081428,1.059480850977983,1,0.1143041108877777,0.9628734451847536,0.011364342720623442,78.75027299123207,13.761947014662045,3.601758481009898,4.409984106688691,20004160.0,25607856.0,0.7811727776038728,45.0,1.0133395086743566,0.13437366341486584,1,High
2015-10-29,19.44545236229335,19.534244722473822,19.38773707414003,19.507606506347656,15218000,XLK,Technology,-0.0027236021598481264,0.23433038081479976,0.19892851699088038,0.15879407551200173,0.2675139186321066,0.7436193152418847,1.4756871757289771,19.061871337890626,18.05764804840088,18.471486959457398,2.338359967685918,8.029608585018252,1.056092914943145,1,0.10943359091075605,0.9068606467897343,0.011606713025249763,75.94963785553921,11.240476133763044,3.6592587832781964,2.869390645241765,19841580.0,25543112.0,0.7767878870828269,50.0,1.00755671730917,0.1343265132363022,1,High
