date,open,high,low,close,volume,ticker,sector,returns,volatility_5d,volatility_10d,volatility_20d,volatility_50d,volatility_ratio,volatility_term_structure,ma_10,ma_50,ma_200,ma10_distance,ma50_distance,price_to_ma200,ma_cross,bb_width,bb_position,atr_ratio,rsi,momentum_1m,momentum_3m,momentum_6m,volume_10d_avg,volume_50d_avg,volume_ratio,market_breadth_proxy,high_low_ratio,forward_volatility,regime,regime_label
2015-10-16,58.21036208203447,58.65535588026178,58.0676294308555,58.57139587402344,17657000,XLV,Healthcare,0.008967201307952255,0.20556674904735162,0.20786138669046292,0.26261633563320436,0.27132799229304067,0.7660889867418017,0.7827645167300873,57.32373466491699,58.987627487182614,60.572805614471434,2.1765176613135684,-0.7056252826062877,0.9669586092282666,0,0.0903339976480106,0.8036618585461403,0.02170701192817071,75.63272503218076,-3.1232223014694083,-9.333273180714963,-4.727393081921594,20328450.0,17939688.0,1.1331551585512525,0.0,1.0101214128278841,0.17606308270421098,1,High
2015-10-19,58.37828637821194,58.94082550759868,58.05923576879968,58.78130340576172,15694700,XLV,Healthcare,0.0035837891278833744,0.2053085460574826,0.20797031023638043,0.2586996711526091,0.27155205166487056,0.7658579965105253,0.7936173445553758,57.453036880493165,58.903028106689455,60.58142292022705,2.311916997584396,-0.20665270503115585,0.9702859486011791,0,0.09050027026178663,0.8434545280616462,0.020762267330662144,74.83072156705097,-1.269223669476316,-8.605931932466982,-5.017129895026229,20058940.0,18036310.0,1.1121421177613382,0.0,1.0151843152450304,0.1812946874528918,1,High
2015-10-20,58.59657249418256,58.78128831749001,57.605829228408986,57.85771560668945,14802000,XLV,Healthcare,-0.01571227151424026,0.22207774929471544,0.1830481115202598,0.26396542834046866,0.27259794598602843,0.6714948304476279,0.8413137685904628,57.62515449523926,58.78975090026856,60.58687715530395,0.4035756840693737,-1.5853703737582043,0.9549545763578676,0,0.08881963539853781,0.672857393824243,0.020948592956696304,63.293604020919524,-1.5149834750680546,-10.240431942813522,-6.660389071026418,18495980.0,18173328.0,1.0177541504781074,0.0,1.0204052108063628,0.17139010018782558,1,High
2015-10-21,58.18518052805909,58.411873208102065,56.38840931112807,57.3371696472168,36068300,XLV,Healthcare,-0.008997001592860543,0.23797337806725002,0.1765510955324825,0.2657577784476285,0.2726728297718156,0.647483270262857,0.8954521649651215,57.655381774902345,58.67677093505859,60.59068483352661,-0.5519209445666484,-2.2830180776723705,0.9463033765792733,0,0.0863279117021703,0.5821691769026699,0.022404388281437846,56.92917826493657,-1.7975241803406927,-10.723553686757448,-7.847247316793416,19356200.0,18736396.0,1.0330802145727491,0.0,1.035884394003905,0.1782593468545794,1,High
2015-10-22,57.42113197049868,57.51348991201357,56.27925778971347,56.99292755126953,35524500,XLV,Healthcare,-0.006003820873358601,0.1569789825560086,0.1789006026644596,0.26417579035599437,0.27278232601956887,0.6558364879241686,0.5942216822535821,57.63439254760742,58.55607009887695,60.58612018585205,-1.1129899492009427,-2.6694799445521524,0.9406928084590966,0,0.08538247118217666,0.5198759595799815,0.02137168448678083,47.73479070892935,-2.288750045698873,-8.983244480381881,-8.104968211161657,20590380.0,19253568.0,1.0694319099711804,0.0,1.0219304975007273,0.18908344888580056,1,High
2015-10-23,57.58067447240666,58.51264563167082,57.34558380263558,58.210384368896484,26524200,XLV,Healthcare,0.021361542035750913,0.2281698884365296,0.20905394457596554,0.2549778048909981,0.2777169052533052,0.7527591609350814,0.8948617646703455,57.70911979675293,58.46256202697754,60.58269605636597,0.868605471559729,-0.43134896819042085,0.9608417610655311,0,0.08668024510381662,0.7451389576120583,0.021532589195783516,54.16687395192538,0.829018611621124,-6.951986209908401,-4.4071673154578495,21853800.0,19657466.0,1.1117302708294141,0.0,1.0203513810767344,0.1770208709533997,1,High
2015-10-26,58.06763595968188,58.83168042981528,57.874522158456884,58.43706130981445,17831900,XLV,Healthcare,0.0038940979925754515,0.22858603635109884,0.20936322450918993,0.20480272128207816,0.2778132270890308,0.7536114342104212,1.11612792505947,57.7914005279541,58.37007423400879,60.58302429199219,1.1172263969412535,0.11476270449324492,0.9645781469767037,0,0.07338079591689242,0.7893349025594888,0.019991802462700447,65.25597293799437,4.066988246262593,-8.246070640749114,-4.5056069802074,22529540.0,19904024.0,1.131908803968484,0.0,1.016538508408549,0.17738854410050214,1,High
2015-10-27,58.59658571518648,59.51176071166992,58.588187792485876,59.51176071166992,25160900,XLV,Healthcare,0.018390716058731327,0.21918558202954003,0.2088905359803422,0.21039405678765422,0.2801907770633637,0.745529664358305,1.0417859961261116,58.05335807800293,58.28636383056641,60.58860122680664,2.5121761805879017,2.102373180570399,0.9822270114620127,0,0.06652366508513768,1.0329663491539036,0.01917728635041225,66.05000679776046,10.250431177803554,-6.717935777978823,-1.8534702000878922,23318300.0,20291322.0,1.1491759876463445,0.0,1.0157638075861855,0.16576267116068644,1,High
2015-10-28,59.419434621186866,60.040753119224256,58.890480510876564,60.00716781616211,18158000,XLV,Healthcare,0.008324524406064793,0.17613683443206107,0.20626722335480419,0.2020747327310763,0.2810050281666961,0.7340339235226908,0.8716420506984724,58.375772857666014,58.214402236938476,60.597943744659425,2.794643871309119,3.079591149844496,0.9902508914991133,1,0.069920820651514,1.0734145841401042,0.018909034244435026,67.43223971852053,10.157287231356914,-5.805529266537901,0.37118886803475526,22955480.0,20545164.0,1.117317924549057,0.0,1.0195324031722792,0.164277026774715,1,High
2015-10-29,60.35137996612901,61.29174882958033,60.02393140949858,60.27581787109375,22780700,XLV,Healthcare,0.004476966081030209,0.12841853096859202,0.184033307852231,0.20075777723742988,0.2811809815081928,0.6545012641506438,0.6396690217222094,58.598270416259766,58.15300041198731,60.60908689498901,2.8627934628741207,3.6504005710234315,0.9945013356747532,1,0.0757211144101619,1.0420663432951704,0.01956099818507175,67.46604546979198,8.394992450534012,-5.927398627646097,-0.5250390274246786,23020220.0,20799372.0,1.1067747622380137,0.0,1.0211218657343915,0.1636855142737867,1,High
